Country,GDP 2022
United States,2.54E+13
South Africa,4.05E+11
India,3.42E+12
Ghana,73766052452
Burkina Faso,18820064798
United Kingdom,3.09E+12
Germany,4.08E+12
Ethiopia,1.27E+11
Czech Republic,
Mexico,1.47E+12
Turkey,
Australia,1.69E+12
France,2.78E+12
Finland,2.83E+11
China,1.80E+13
Canada,2.16E+12
Japan,4.26E+12
Nigeria,4.73E+11
Spain,1.42E+12
Belgium,5.83E+11
South Korea,
Singapore,4.67E+11
Italy,2.05E+12
Romania,3.01E+11
Argentina,6.31E+11
Venezuela,
Hong Kong,
Russia,
Unknown,
Ireland,5.33E+11
Nepal,40828247304
New Zealand,2.48E+11
Brazil,1.92E+12
Greece,2.18E+11
Jordan,48653381781
Colombia,3.44E+11
Switzerland,8.18E+11
Israel,5.25E+11
Taiwan,
Bulgaria,90346169915
Algeria,1.95E+11
Poland,6.88E+11
Saudi Arabia,1.11E+12
Thailand,4.95E+11
Indonesia,1.32E+12
Egypt,
Denmark,4.00E+11
Kuwait,1.75E+11
Netherlands,1.01E+12
Malaysia,4.07E+11
Vietnam,
Hungary,1.77E+11
Sweden,5.92E+11
Lebanon,
Syria,
Philippines,4.04E+11
Iceland,28064529851
United Arab Emirates,5.07E+11
Norway,5.93E+11
Qatar,2.36E+11
Mauritius,12948726654
Austria,4.71E+11
Cameroon,43644068311
Palestine,
Uruguay,71177146197
Kenya,1.13E+11
Chile,3.01E+11
Luxembourg,81641807866
Cambodia,29504829319
Bangladesh,4.60E+11
Portugal,2.55E+11
Cayman Islands,6844827379
Senegal,27684264748
Serbia,63563401044
Malta,18125564514
Namibia,12914932656
Angola,1.07E+11
Peru,2.43E+11
Mozambique,18406835955
Belarus,72793457588
Zimbabwe,27366627153
Puerto Rico,1.13E+11
Pakistan,3.75E+11
Cyprus,29250524418
Guatemala,95003330316
10-Oct-19,
01-Oct-19,
Iraq,2.64E+11
Malawi,13164667627
Paraguay,41722295229
Croatia,71600049650
Iran,
West Germany,
Albania,18916378861
28-Feb-18,
Georgia,24780791064
Soviet Union,
Morocco,1.31E+11
Slovakia,
Ukraine,1.61E+11
Bermuda,7546000000
Ecuador,1.15E+11
23-Dec,
2018,
Armenia,19513474648
Mongolia,17146471626
Bahamas,
Sri Lanka,74403578363
Latvia,40932030050
Liechtenstein,
Cuba,
Nicaragua,15671583940
Slovenia,60063475466
Dominican Republic,1.14E+11
Samoa,832945205.6
Azerbaijan,78721058824
Botswana,20355541963
Vatican City,
Jamaica,17097760724
Kazakhstan,2.25E+11
Lithuania,70974490450
Afghanistan,
Somalia,10419541202
Sudan,51662241775
Panama,76522511800
Uganda,45567304608
East Germany,
Montenegro,6229801581
